"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 01 03:34:37 UTC 2023","Sat Jul 01 03:34:41 UTC 2023","4542","tests","test_header_links","","","","Проверка кнопки вакансии мск",""
"passed","Sat Jul 01 03:43:38 UTC 2023","Sat Jul 01 03:43:44 UTC 2023","5571","tests","test_header_menu","","","","Проверка кнопки OK в меню",""
"passed","Sat Jul 01 03:30:33 UTC 2023","Sat Jul 01 03:30:39 UTC 2023","6741","tests","test_apart_from_header","","","","Проверка квартир МСК-2",""
"passed","Sat Jul 01 03:34:42 UTC 2023","Sat Jul 01 03:34:47 UTC 2023","4788","tests","test_header_links","","","","Проверка кнопки коммерции мо",""
"passed","Sat Jul 01 03:34:53 UTC 2023","Sat Jul 01 03:34:58 UTC 2023","4785","tests","test_header_links","","","","Проверка кнопки о нас мо",""
"passed","Sat Jul 01 03:44:59 UTC 2023","Sat Jul 01 03:45:03 UTC 2023","3956","tests","test_header_menu","","","","Проверка кнопки Telegram в меню",""
"passed","Sat Jul 01 03:41:35 UTC 2023","Sat Jul 01 03:41:43 UTC 2023","8025","tests","test_header_menu","","","","Проверка кнопки Компания в меню",""
"broken","Sat Jul 01 04:26:25 UTC 2023","Sat Jul 01 04:26:25 UTC 2023","65","tests","test_projects_from_header","","","","Проверка Сибирский сад ект",""
"passed","Sat Jul 01 03:44:50 UTC 2023","Sat Jul 01 03:44:54 UTC 2023","3911","tests","test_header_menu","","","","Проверка кнопки Telegram в меню",""
"passed","Sat Jul 01 03:41:52 UTC 2023","Sat Jul 01 03:42:00 UTC 2023","8155","tests","test_header_menu","","","","Проверка кнопки Компания в меню",""
"passed","Sat Jul 01 03:41:44 UTC 2023","Sat Jul 01 03:41:51 UTC 2023","6951","tests","test_header_menu","","","","Проверка кнопки Компания в меню",""
"passed","Sat Jul 01 03:43:44 UTC 2023","Sat Jul 01 03:43:49 UTC 2023","4227","tests","test_header_menu","","","","Проверка кнопки OK в меню",""
"passed","Sat Jul 01 03:40:46 UTC 2023","Sat Jul 01 03:40:52 UTC 2023","5624","tests","test_header_menu","","","","Проверка кнопки Квартиры в меню",""
"passed","Sat Jul 01 03:42:57 UTC 2023","Sat Jul 01 03:43:02 UTC 2023","5071","tests","test_header_menu","","","","Проверка кнопки OK в меню",""
"passed","Sat Jul 01 03:42:41 UTC 2023","Sat Jul 01 03:42:48 UTC 2023","7186","tests","test_header_menu","","","","Проверка кнопки ВК в меню",""
"passed","Sat Jul 01 03:36:25 UTC 2023","Sat Jul 01 03:36:29 UTC 2023","4742","tests","test_header_links","","","","Проверка кнопки проекты екб",""
"passed","Sat Jul 01 03:33:13 UTC 2023","Sat Jul 01 03:33:20 UTC 2023","7426","tests","test_apart_from_header","","","","Проверка квартир ЕКБ-3",""
"passed","Sat Jul 01 03:38:01 UTC 2023","Sat Jul 01 03:38:08 UTC 2023","6912","tests","test_header_links","","","","Проверка кнопки вакансии тмн",""
"passed","Sat Jul 01 03:42:01 UTC 2023","Sat Jul 01 03:42:06 UTC 2023","5718","tests","test_header_menu","","","","Проверка кнопки Компания в меню",""
"passed","Sat Jul 01 03:37:35 UTC 2023","Sat Jul 01 03:37:42 UTC 2023","6126","tests","test_header_links","","","","Проверка кнопки о нас тмн",""
"broken","Sat Jul 01 03:50:30 UTC 2023","Sat Jul 01 03:52:16 UTC 2023","106016","tests","test_header_menu","","","","Проверка кнопки Новости в меню",""
"passed","Sat Jul 01 03:35:23 UTC 2023","Sat Jul 01 03:35:29 UTC 2023","6026","tests","test_header_links","","","","Проверка кнопки коммерции спб",""
"passed","Sat Jul 01 04:24:29 UTC 2023","Sat Jul 01 04:24:35 UTC 2023","6591","tests","test_projects_from_header","","","","Проверка Домашний тмн",""
"broken","Sat Jul 01 04:22:49 UTC 2023","Sat Jul 01 04:22:55 UTC 2023","5670","tests","test_projects","","","","Переход из проектов в Сердце Сибири",""
"passed","Sat Jul 01 03:43:49 UTC 2023","Sat Jul 01 03:43:54 UTC 2023","4592","tests","test_header_menu","","","","Проверка кнопки OK в меню",""
"broken","Sat Jul 01 03:58:40 UTC 2023","Sat Jul 01 03:58:40 UTC 2023","62","tests","test_header_menu","","","","Проверка кнопки Новости в меню",""
"passed","Sat Jul 01 03:33:26 UTC 2023","Sat Jul 01 03:33:32 UTC 2023","6015","tests","test_apart_from_header","","","","Проверка квартир ЕКБ-4",""
"passed","Sat Jul 01 04:19:46 UTC 2023","Sat Jul 01 04:19:55 UTC 2023","8995","tests","test_projects","","","","Переход из проектов в Юнион",""
"passed","Sat Jul 01 04:22:57 UTC 2023","Sat Jul 01 04:23:05 UTC 2023","8278","tests","test_projects","","","","Переход из проектов в Домашний",""
"passed","Sat Jul 01 03:44:33 UTC 2023","Sat Jul 01 03:44:39 UTC 2023","6051","tests","test_header_menu","","","","Проверка кнопки YT в меню",""
"passed","Sat Jul 01 04:23:29 UTC 2023","Sat Jul 01 04:23:38 UTC 2023","8422","tests","test_projects_from_header","","","","Проверка Принцип спб",""
"passed","Sat Jul 01 03:44:00 UTC 2023","Sat Jul 01 03:44:06 UTC 2023","6549","tests","test_header_menu","","","","Проверка кнопки YT в меню",""
"passed","Sat Jul 01 03:40:17 UTC 2023","Sat Jul 01 03:40:22 UTC 2023","4987","tests","test_header_menu","","","","Проверка кнопки Проекты в меню",""
"passed","Sat Jul 01 03:36:09 UTC 2023","Sat Jul 01 03:36:13 UTC 2023","4084","tests","test_header_links","","","","Проверка кнопки методы покупки спб",""
"passed","Sat Jul 01 03:40:40 UTC 2023","Sat Jul 01 03:40:45 UTC 2023","4820","tests","test_header_menu","","","","Проверка кнопки Квартиры в меню",""
"passed","Sat Jul 01 03:44:21 UTC 2023","Sat Jul 01 03:44:26 UTC 2023","5368","tests","test_header_menu","","","","Проверка кнопки YT в меню",""
"passed","Sat Jul 01 03:33:55 UTC 2023","Sat Jul 01 03:34:01 UTC 2023","5318","tests","test_apart_from_header","","","","Проверка паркинга",""
"passed","Sat Jul 01 03:32:21 UTC 2023","Sat Jul 01 03:32:29 UTC 2023","7676","tests","test_apart_from_header","","","","Проверка квартир ЕКБ-1",""
"passed","Sat Jul 01 04:10:18 UTC 2023","Sat Jul 01 04:10:23 UTC 2023","5191","tests","test_projects","","","","Переход из проектов в WOW",""
"passed","Sat Jul 01 04:24:14 UTC 2023","Sat Jul 01 04:24:28 UTC 2023","13602","tests","test_projects_from_header","","","","Проверка Сердце Сибири тмн",""
"passed","Sat Jul 01 03:32:30 UTC 2023","Sat Jul 01 03:33:12 UTC 2023","42238","tests","test_apart_from_header","","","","Проверка квартир ЕКБ-2",""
"passed","Sat Jul 01 03:35:30 UTC 2023","Sat Jul 01 03:35:57 UTC 2023","26863","tests","test_header_links","","","","Проверка кнопки акции спб",""
"passed","Sat Jul 01 03:37:19 UTC 2023","Sat Jul 01 03:37:24 UTC 2023","5192","tests","test_header_links","","","","Проверка кнопки квартиры тмн",""
"passed","Sat Jul 01 03:30:40 UTC 2023","Sat Jul 01 03:30:46 UTC 2023","5416","tests","test_apart_from_header","","","","Проверка квартир МСК-3",""
"passed","Sat Jul 01 04:10:11 UTC 2023","Sat Jul 01 04:10:17 UTC 2023","6462","tests","test_login_lk","","","","Проверка авторизации в ЛК клиента",""
"passed","Sat Jul 01 03:44:07 UTC 2023","Sat Jul 01 03:44:13 UTC 2023","5704","tests","test_header_menu","","","","Проверка кнопки YT в меню",""
"passed","Sat Jul 01 04:19:38 UTC 2023","Sat Jul 01 04:19:46 UTC 2023","7676","tests","test_projects","","","","Переход из проектов в Звездный",""
"passed","Sat Jul 01 03:34:20 UTC 2023","Sat Jul 01 03:34:23 UTC 2023","3513","tests","test_header_links","","","","Проверка кнопки акции мск",""
"passed","Sat Jul 01 03:34:47 UTC 2023","Sat Jul 01 03:34:53 UTC 2023","5725","tests","test_header_links","","","","Проверка кнопки акции мо",""
"passed","Sat Jul 01 03:36:47 UTC 2023","Sat Jul 01 03:36:50 UTC 2023","3846","tests","test_header_links","","","","Проверка кнопки акции екб",""
"passed","Sat Jul 01 03:42:49 UTC 2023","Sat Jul 01 03:42:56 UTC 2023","7112","tests","test_header_menu","","","","Проверка кнопки ВК в меню",""
"passed","Sat Jul 01 03:36:30 UTC 2023","Sat Jul 01 03:36:35 UTC 2023","5143","tests","test_header_links","","","","Проверка кнопки квартиры екб",""
"passed","Sat Jul 01 03:34:30 UTC 2023","Sat Jul 01 03:34:36 UTC 2023","5796","tests","test_header_links","","","","Проверка кнопки способы покупки мск",""
"passed","Sat Jul 01 04:20:42 UTC 2023","Sat Jul 01 04:20:51 UTC 2023","9351","tests","test_projects","","","","Переход из проектов в Колумб",""
"passed","Sat Jul 01 03:30:46 UTC 2023","Sat Jul 01 03:30:53 UTC 2023","6324","tests","test_apart_from_header","","","","Проверка квартир МСК-4",""
"passed","Sat Jul 01 03:40:12 UTC 2023","Sat Jul 01 03:40:17 UTC 2023","4480","tests","test_header_menu","","","","Проверка кнопки Проекты в меню",""
"passed","Sat Jul 01 03:31:57 UTC 2023","Sat Jul 01 03:32:07 UTC 2023","9333","tests","test_apart_from_header","","","","Проверка квартир ТМН-4",""
"passed","Sat Jul 01 03:34:59 UTC 2023","Sat Jul 01 03:35:06 UTC 2023","7030","tests","test_header_links","","","","Проверка кнопки вакансии мо",""
"passed","Sat Jul 01 04:24:04 UTC 2023","Sat Jul 01 04:24:14 UTC 2023","9205","tests","test_projects_from_header","","","","Проверка Колумб тмн",""
"passed","Sat Jul 01 03:40:23 UTC 2023","Sat Jul 01 03:40:28 UTC 2023","4934","tests","test_header_menu","","","","Проверка кнопки Проекты в меню",""
"passed","Sat Jul 01 03:42:25 UTC 2023","Sat Jul 01 03:42:33 UTC 2023","7637","tests","test_header_menu","","","","Проверка кнопки ВК в меню",""
"passed","Sat Jul 01 03:32:13 UTC 2023","Sat Jul 01 03:32:21 UTC 2023","7192","tests","test_apart_from_header","","","","Проверка квартир ЕКБ-0",""
"passed","Sat Jul 01 03:44:55 UTC 2023","Sat Jul 01 03:44:58 UTC 2023","3610","tests","test_header_menu","","","","Проверка кнопки Telegram в меню",""
"passed","Sat Jul 01 03:37:50 UTC 2023","Sat Jul 01 03:37:54 UTC 2023","4881","tests","test_header_links","","","","Проверка кнопки вакансии тмн",""
"passed","Sat Jul 01 03:42:07 UTC 2023","Sat Jul 01 03:42:17 UTC 2023","9703","tests","test_header_menu","","","","Проверка кнопки ВК в меню",""
"passed","Sat Jul 01 03:30:26 UTC 2023","Sat Jul 01 03:30:32 UTC 2023","5867","tests","test_apart_from_header","","","","Проверка квартир МСК-1",""
"passed","Sat Jul 01 03:45:04 UTC 2023","Sat Jul 01 03:45:07 UTC 2023","3721","tests","test_header_menu","","","","Проверка кнопки Telegram в меню",""
"passed","Sat Jul 01 03:41:28 UTC 2023","Sat Jul 01 03:41:34 UTC 2023","6779","tests","test_header_menu","","","","Проверка кнопки Компания в меню",""
"broken","Sat Jul 01 04:09:29 UTC 2023","Sat Jul 01 04:09:29 UTC 2023","52","tests","test_login_lk","","","","Проверка авторизации в ЛК клиента",""
"broken","Sat Jul 01 04:04:02 UTC 2023","Sat Jul 01 04:05:47 UTC 2023","105310","tests","test_header_menu","","","","Проверка кнопки Новости в меню",""
"passed","Sat Jul 01 03:37:42 UTC 2023","Sat Jul 01 03:37:49 UTC 2023","6372","tests","test_header_links","","","","Проверка кнопки методы покупки тмн",""
"passed","Sat Jul 01 03:44:46 UTC 2023","Sat Jul 01 03:44:49 UTC 2023","3671","tests","test_header_menu","","","","Проверка кнопки Telegram в меню",""
"passed","Sat Jul 01 03:36:19 UTC 2023","Sat Jul 01 03:36:24 UTC 2023","5045","tests","test_header_links","","","","Проверка кнопки вакансии спб",""
"passed","Sat Jul 01 03:31:14 UTC 2023","Sat Jul 01 03:31:31 UTC 2023","17482","tests","test_apart_from_header","","","","Проверка квартир ТМН-2",""
"passed","Sat Jul 01 03:40:29 UTC 2023","Sat Jul 01 03:40:34 UTC 2023","5454","tests","test_header_menu","","","","Проверка кнопки Квартиры в меню",""
"passed","Sat Jul 01 04:23:10 UTC 2023","Sat Jul 01 04:23:16 UTC 2023","5511","tests","test_projects_from_header","","","","Проверка WOW мск",""
"passed","Sat Jul 01 04:19:14 UTC 2023","Sat Jul 01 04:19:28 UTC 2023","14178","tests","test_projects","","","","Переход из проектов в Принцип",""
"passed","Sat Jul 01 03:34:24 UTC 2023","Sat Jul 01 03:34:29 UTC 2023","5112","tests","test_header_links","","","","Проверка кнопки о нас мск",""
"passed","Sat Jul 01 03:30:18 UTC 2023","Sat Jul 01 03:30:25 UTC 2023","7354","tests","test_apart_from_header","","","","Проверка квартир МСК-0",""
"broken","Sat Jul 01 03:58:31 UTC 2023","Sat Jul 01 03:58:31 UTC 2023","70","tests","test_header_menu","","","","Проверка кнопки Новости в меню",""
"passed","Sat Jul 01 03:38:09 UTC 2023","Sat Jul 01 03:38:14 UTC 2023","5288","tests","test_header_menu","","","","Проверка кнопки Проекты в меню",""
"passed","Sat Jul 01 03:37:07 UTC 2023","Sat Jul 01 03:37:13 UTC 2023","5679","tests","test_header_links","","","","Проверка кнопки вакансии тмн",""
"passed","Sat Jul 01 03:36:02 UTC 2023","Sat Jul 01 03:36:08 UTC 2023","5947","tests","test_header_links","","","","Проверка кнопки о нас спб",""
"passed","Sat Jul 01 03:34:12 UTC 2023","Sat Jul 01 03:34:19 UTC 2023","6878","tests","test_header_links","","","","Проверка кнопки коммерции мск",""
"passed","Sat Jul 01 04:20:01 UTC 2023","Sat Jul 01 04:20:41 UTC 2023","39878","tests","test_projects","","","","Переход из проектов в Авторский",""
"passed","Sat Jul 01 03:44:27 UTC 2023","Sat Jul 01 03:44:33 UTC 2023","5862","tests","test_header_menu","","","","Проверка кнопки YT в меню",""
"passed","Sat Jul 01 04:23:48 UTC 2023","Sat Jul 01 04:23:56 UTC 2023","7823","tests","test_projects_from_header","","","","Проверка Юнион тмн",""
"passed","Sat Jul 01 03:31:32 UTC 2023","Sat Jul 01 03:31:51 UTC 2023","18719","tests","test_apart_from_header","","","","Проверка квартир ТМН-3",""
"passed","Sat Jul 01 04:23:23 UTC 2023","Sat Jul 01 04:23:28 UTC 2023","5891","tests","test_projects_from_header","","","","Проверка ДнВ спб",""
"passed","Sat Jul 01 03:31:05 UTC 2023","Sat Jul 01 03:31:13 UTC 2023","8550","tests","test_apart_from_header","","","","Проверка квартир ТМН-1",""
"passed","Sat Jul 01 03:44:14 UTC 2023","Sat Jul 01 03:44:20 UTC 2023","6322","tests","test_header_menu","","","","Проверка кнопки YT в меню",""
"broken","Sat Jul 01 04:09:24 UTC 2023","Sat Jul 01 04:09:24 UTC 2023","65","tests","test_header_menu","","","","Проверка кнопки Новости в меню",""
"passed","Sat Jul 01 04:09:56 UTC 2023","Sat Jul 01 04:10:03 UTC 2023","6475","tests","test_login_lk","","","","Проверка авторизации в ЛК клиента",""
"passed","Sat Jul 01 04:23:17 UTC 2023","Sat Jul 01 04:23:22 UTC 2023","5218","tests","test_projects_from_header","","","","Проверка Озёрный мск",""
"passed","Sat Jul 01 03:37:25 UTC 2023","Sat Jul 01 03:37:30 UTC 2023","5072","tests","test_header_links","","","","Проверка кнопки коммерция тмн",""
"passed","Sat Jul 01 03:37:55 UTC 2023","Sat Jul 01 03:38:00 UTC 2023","5090","tests","test_header_links","","","","Проверка кнопки о нас тмн",""
"passed","Sat Jul 01 03:42:18 UTC 2023","Sat Jul 01 03:42:24 UTC 2023","6856","tests","test_header_menu","","","","Проверка кнопки ВК в меню",""
"passed","Sat Jul 01 03:40:35 UTC 2023","Sat Jul 01 03:40:40 UTC 2023","4632","tests","test_header_menu","","","","Проверка кнопки Квартиры в меню",""
"passed","Sat Jul 01 04:23:57 UTC 2023","Sat Jul 01 04:24:04 UTC 2023","7215","tests","test_projects_from_header","","","","Проверка Авторский тмн",""
"passed","Sat Jul 01 03:34:07 UTC 2023","Sat Jul 01 03:34:11 UTC 2023","4585","tests","test_header_links","","","","Проверка кнопки квартиры мск",""
"passed","Sat Jul 01 03:37:02 UTC 2023","Sat Jul 01 03:37:06 UTC 2023","4499","tests","test_header_links","","","","Проверка кнопки вакансии екб",""
"broken","Sat Jul 01 03:54:12 UTC 2023","Sat Jul 01 03:54:12 UTC 2023","58","tests","test_header_menu","","","","Проверка кнопки Новости в меню",""
"passed","Sat Jul 01 03:33:33 UTC 2023","Sat Jul 01 03:33:40 UTC 2023","6920","tests","test_apart_from_header","","","","Проверка квартир СПБ-0",""
"passed","Sat Jul 01 04:09:48 UTC 2023","Sat Jul 01 04:09:55 UTC 2023","7035","tests","test_login_lk","","","","Проверка авторизации в ЛК клиента",""
"passed","Sat Jul 01 03:40:52 UTC 2023","Sat Jul 01 03:40:58 UTC 2023","5130","tests","test_header_menu","","","","Проверка кнопки Квартиры в меню",""
